subject,open,lineno,NOC,PAR,NOO,experience-based,statistics-based,tuning machine
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/numpy.py,835,25,0,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/numpy.py,1136,36,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/numpy.py,1208,26,1,8,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/numpy.py,1430,32,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/numpy.py,1609,32,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,139,14,0,2,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,140,69,0,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,147,14,0,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,148,69,0,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,272,14,0,2,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,273,76,0,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,279,14,0,2,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/sparse.py,280,76,0,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/layer.py,98,47,1,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/layer.py,112,47,1,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer.py,143,19,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/math.py,217,30,2,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/trainer.py,228,25,2,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/trainer.py,473,31,1,2,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/trainer.py,479,51,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/trainer.py,548,17,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/trainer.py,567,17,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,52,51,0,9,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,68,53,0,9,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,112,54,0,9,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,117,48,0,9,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,152,43,0,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,158,43,0,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,164,43,0,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,178,43,0,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,184,43,0,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/backend/tensorflow/optimizer_distribute_test.py,190,43,0,7,0,0,0
